animeID,name,title_english,title_japanese,title_synonyms,type,source,producers,genre,studio,episodes,status,airing,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,premiered,broadcast,related
10495,Yuru Yuri,YuruYuri: Happy Go Lily,ゆるゆり,['YRYR'],TV,Manga,Sotsu,Comedy,Doga Kobo,12,Finished Airing,FALSE,2011-07-05,2011-09-02,23 min per ep,PG-13 - Teens 13 or older,7.67,100327,1201,393,218029,3801,"After a year in grade school without her childhood friends, first year student Akari Akaza is finally reunited with second years Yui Funami and Kyouko Toshinou at their all-girls' middle school. During the duo's first year, Yui and Kyouko formed the ""Amusement Club"" which occupies the now nonexistent Tea Club's room. Shortly after Akari joins, one of her fellow classmates, Chinatsu Yoshikawa, pays the trio a visit under the impression that they are the Tea Club; it is only once the three girls explain that the Tea Club has been disbanded that they can convince Chinatsu to join the Amusement Club—a group with no purpose other than to provide entertainment for its members. Based on the slice-of-life manga by Namori, Yuru Yuri is an eccentric comedy about a group of girls who spend their spare time drinking tea and fawning over each other, all while completely failing to even notice the supposed main character Akari amongst them. [Written by MAL Rewrite]",NA,Summer 2011,Unknown,"{'Adaptation': [{'mal_id': 11593, 'type': 'manga', 'name': 'Yuru Yuri', 'url': 'https://myanimelist.net/manga/11593/Yuru_Yuri'}], 'Sequel': [{'mal_id': 12403, 'type': 'anime', 'name': 'Yuru Yuri♪♪', 'url': 'https://myanimelist.net/anime/12403/Yuru_Yuri♪♪'}], 'Side story': [{'mal_id': 12665, 'type': 'anime', 'name': 'Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal', 'url': 'https://myanimelist.net/anime/12665/Yuru_Yuri__Doushite_Tomaranai_Tokimeki_Dokidoki_Paradox_Eternal'}]}"
10713,Towa no Quon 2: Konton no Ranbu,Towanoquon: Dancing Orchid in Chaos,トワノクオン 第２章 混沌の乱舞,[],Movie,Original,Movic,Mystery,Bones,1,Finished Airing,FALSE,2011-07-16,NA,48 min,PG-13 - Teens 13 or older,7.48,15523,1754,2462,26825,14,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.,NA,NA,NA,"{'Adaptation': [{'mal_id': 27823, 'type': 'manga', 'name': 'Towa no Quon', 'url': 'https://myanimelist.net/manga/27823/Towa_no_Quon'}], 'Prequel': [{'mal_id': 10294, 'type': 'anime', 'name': 'Towa no Quon 1: Utakata no Kaben', 'url': 'https://myanimelist.net/anime/10294/Towa_no_Quon_1__Utakata_no_Kaben'}], 'Sequel': [{'mal_id': 10714, 'type': 'anime', 'name': 'Towa no Quon 3: Mugen no Renza', 'url': 'https://myanimelist.net/anime/10714/Towa_no_Quon_3__Mugen_no_Renza'}]}"
28677,Yamada-kun to 7-nin no Majo,Yamada-kun and the Seven Witches,山田くんと7人の魔女,"['Yamada-kun to Nananin no Majo', 'Yamada-kun and the 7 Witches']",TV,Manga,Lawson HMV Entertainment,Supernatural,LIDENFILMS,12,Finished Airing,FALSE,2015-04-12,2015-06-02,24 min per ep,PG-13 - Teens 13 or older,7.82,204357,869,179,363858,2576,"When Ryuu Yamada entered high school, he wanted to turn over a new leaf and lead a productive school life. That's why he chose to attend Suzaku High, where no one would know of his violent delinquent reputation. However, much to Ryuu's dismay, he is soon bored; now a second year, Ryuu has reverted to his old ways—lazy with abysmal grades and always getting into fights. One day, back from yet another office visit, Ryuu encounters Urara Shiraishi, a beautiful honors student. A misstep causes them both to tumble down the stairs, ending in an accidental kiss! The pair discover they can switch bodies with a kiss: an ability which will prove to be both convenient and troublesome. Learning of their new power, Toranosuke Miyamura, a student council officer and the single member of the Supernatural Studies Club, recruits them for the club. Soon joined by Miyabi Itou, an eccentric interested in all things supernatural, the group unearths the legend of the Seven Witches of Suzaku High, seven female students who have obtained different powers activated by a kiss. The Supernatural Studies Club embarks on its first quest: to find the identities of all the witches. [Written by MAL Rewrite]","Episode 1 was previewed at a screening at Cinemart Shinjuku in Tokyo on March 14, 2015. Regular broadcasting began on April 12, 2015.",Spring 2015,Sundays at 23:30 (JST),"{'Adaptation': [{'mal_id': 35003, 'type': 'manga', 'name': 'Yamada-kun to 7-nin no Majo', 'url': 'https://myanimelist.net/manga/35003/Yamada-kun_to_7-nin_no_Majo'}], 'Other': [{'mal_id': 20359, 'type': 'anime', 'name': 'Yamada-kun to 7-nin no Majo PV', 'url': 'https://myanimelist.net/anime/20359/Yamada-kun_to_7-nin_no_Majo_PV'}], 'Side story': [{'mal_id': 24627, 'type': 'anime', 'name': 'Yamada-kun to 7-nin no Majo (OVA)', 'url': 'https://myanimelist.net/anime/24627/Yamada-kun_to_7-nin_no_Majo_OVA'}], 'Spin-off': [{'mal_id': 30641, 'type': 'anime', 'name': 'Yankee-kun na Yamada-kun to Megane-chan to Majo', 'url': 'https://myanimelist.net/anime/30641/Yankee-kun_na_Yamada-kun_to_Megane-chan_to_Majo'}]}"
25103,Sumiko no Egao,NA,スミ子の笑顔,"[""Sumiko's Smile"", 'Smile of Sumiko']",Music,Original,Opera House,Music,NA,1,Finished Airing,FALSE,2012-04-25,NA,6 min,G - All Ages,5.32,58,9294,13122,146,0,A music video starring Sumiko.,NA,NA,NA,"{'Other': [{'mal_id': 25101, 'type': 'anime', 'name': 'Sumiko', 'url': 'https://myanimelist.net/anime/25101/Sumiko'}]}"
10447,Aquarion Evol,Aquarion Evol,アクエリオンEVOL,[],TV,Original,Bandai,Comedy,Satelight,26,Finished Airing,FALSE,2012-01-09,2012-06-02,24 min per ep,PG-13 - Teens 13 or older,7.24,32892,2688,1162,80266,408,"12,000 years after the events in Genesis Aquarion, humans live on the star Vega under constant threat of trans-dimensional beings called Abductors. These enemies originate from Vega’s sister star Altair and raid Vega for human life. As a countermeasure, an organization known as Neo-DEAVA formed to combat the Abductors. They pilot advanced mecha suits called Aquaria and are strictly separated by gender. Boys and girls are not allowed contact; they are even restrained from fighting on the same battlefield. However, events take a shocking turn when an advanced Abductor mecha suit joins the fray. Two teenagers, Mikono and Amata, are dragged into the conflict. Unknowingly, Amata performs a taboo when he summons an Aquaria and initializes what is called the Forbidden Union between male and female Aquaria. Neo-DEAVA is shocked, and the repercussions of Amata’s actions are much farther reaching than he realizes. How was he able to summon an Aquaria? Where did he learn to form a Forbidden Union? And why was Mikono also able to pilot the mecha suit?",The first two episodes were aired together as a 1 hour special.,Winter 2012,Unknown,"{'Adaptation': [{'mal_id': 38719, 'type': 'manga', 'name': 'Aquarion Evol', 'url': 'https://myanimelist.net/manga/38719/Aquarion_Evol'}], 'Prequel': [{'mal_id': 478, 'type': 'anime', 'name': 'Sousei no Aquarion', 'url': 'https://myanimelist.net/anime/478/Sousei_no_Aquarion'}], 'Other': [{'mal_id': 30381, 'type': 'anime', 'name': 'Sousei no Aquarion Evol', 'url': 'https://myanimelist.net/anime/30381/Sousei_no_Aquarion_Evol'}], 'Sequel': [{'mal_id': 30382, 'type': 'anime', 'name': 'Aquarion Logos', 'url': 'https://myanimelist.net/anime/30382/Aquarion_Logos'}]}"
34019,Tsugumomo,Tsugumomo,つぐもも,[],TV,Manga,Animax,Supernatural,Zero-G,12,Finished Airing,FALSE,2017-04-02,2017-06-01,24 min per ep,R+ - Mild Nudity,7.12,28804,3223,1278,72586,179,"Kazuya Kagami never goes anywhere without the precious ""Sakura Obi"" his mother gave him. One day a beautiful, kimono-clad girl named Kiriha appeared before him. Kiriha naturally began to live with Kazuya in his room. Then there's Chisato, Kazuya's childhood friend with glasses and a ponytail, who meddles in his affairs. Soon there's also an overprotective older sister who seems to want to take baths with him. Jumble in a huge-chested priestess, a good-looking sorceress named Kokuyoura, beautiful women, and hot girls, and Kazuya's happy, embarrassing, confusing life begins… (Source: MAL News)",NA,Spring 2017,Sundays at 23:30 (JST),"{'Adaptation': [{'mal_id': 14369, 'type': 'manga', 'name': 'Tsugumomo', 'url': 'https://myanimelist.net/manga/14369/Tsugumomo'}]}"
1557,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,"['The Young Spirit Master', 'Teenager Onmyoji', 'Shonen Onmyouji']",TV,Light novel,Sotsu,Fantasy,Studio Deen,26,Finished Airing,FALSE,2006-10-03,2007-03-01,23 min per ep,PG-13 - Teens 13 or older,7.66,15139,1220,1910,41387,279,"Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.",NA,Fall 2006,Unknown,"{'Adaptation': [{'mal_id': 12664, 'type': 'manga', 'name': 'Shounen Onmyouji', 'url': 'https://myanimelist.net/manga/12664/Shounen_Onmyouji'}]}"
30970,Jidou Bungaku Library,NA,児童文学ライブラリー　,['Jidou Bungaku Anime'],OVA,Unknown,NA,Samurai,NA,6,Finished Airing,FALSE,NA,NA,17 min per ep,G - All Ages,7,11,11411,13650,120,0,"A series of children's OVAs covering various stories from old folk tales, books, and historical events. Each OVA has a various amount of stories featured.",NA,NA,NA,{}
2640,Doraemon: It's Summer!,NA,夏だ！一番ドラえもん祭り,['Natsu da! Ichiban Doraemon Matsuri'],Special,Unknown,Asatsu DK,Fantasy,NA,1,Finished Airing,FALSE,1986-04-04,NA,23 min,PG - Children,6.51,252,5732,9395,746,0,NA,NA,NA,NA,"{'Parent story': [{'mal_id': 2471, 'type': 'anime', 'name': 'Doraemon (1979)', 'url': 'https://myanimelist.net/anime/2471/Doraemon_1979'}]}"
1539,Touch: Cross Road - Kaze no Yukue,NA,タッチ CROSS ROAD～風のゆくえ,['Touch: Crossroad - Kaze no Yukue'],Special,Unknown,Studio Jack,Sports,NA,1,Finished Airing,FALSE,2001-02-09,NA,1 hr 30 min,PG-13 - Teens 13 or older,7.1,984,3304,7371,1984,2,"Trying to find his own game of baseball, and not that of his brothers, Tatsuya moves to America and pitches for a poor, struggling minor league baseball team called the Emeralds. Meanwhile, Minami is still in Japan, trying to find her own path after quitting gymnastics. Inspired by a photograph of her final performance, she becomes the photographers assisstant. (Source: ANN)",NA,NA,NA,"{'Prequel': [{'mal_id': 1540, 'type': 'anime', 'name': 'Touch: Miss Lonely Yesterday - Are kara, Kimi wa...', 'url': 'https://myanimelist.net/anime/1540/Touch__Miss_Lonely_Yesterday_-_Are_kara_Kimi_wa'}]}"
